EAR,MAR,Pitch,Yaw,Label
0.7,0.7395170422228601,21.375,-12.09375,Looking Away
0.4,0.7398105658955038,21.375,-12.09375,Looking Away
1.0,0.7541172488577031,21.75,-12.09375,Looking Away
1.0,0.7539414524165075,21.75,-12.09375,Looking Away
0.7,0.7545010683935779,21.75,-12.09375,Looking Away
0.7,0.7368779110931777,21.75,-12.09375,Looking Away
0.7,0.753335439543441,21.75,-12.09375,Looking Away
1.0,0.73788489525852,24.375,-7.3125,Looking Away
1.0,0.7300817700442545,24.750000000000004,-7.3125,Looking Away
0.7,0.7384807748007745,24.375,-7.3125,Looking Away
0.7,0.7266700071763478,24.375,-7.03125,Looking Away
1.0,0.7266617714755336,23.625,-8.15625,Looking Away
1.0,0.7261258537454682,23.625,-8.15625,Looking Away
1.0,0.7258281049509376,23.625,-8.15625,Looking Away
0.7,0.7206044642875657,23.625,-7.874999999999999,Looking Away
0.7,0.7259146272151245,24.750000000000004,-7.3125,Looking Away
1.0,0.7261113391067964,24.750000000000004,-7.3125,Looking Away
0.7,0.7258993751205587,24.750000000000004,-7.3125,Looking Away
0.7,0.7254032170413283,23.625,-8.15625,Looking Away
0.4,0.7426084662812578,30.375000000000004,-4.78125,Looking Away
0.4,0.7447319660333052,30.375000000000004,-4.78125,Looking Away
0.4,0.7847359013576926,31.125,-4.78125,Looking Away
0.7,0.7616177204144925,31.125,-5.34375,Looking Away
0.4,0.7418987304073434,30.75,-5.34375,Looking Away
0.4,0.7187323599433653,31.125,-4.78125,Looking Away
1.0,0.7104128603802036,23.625,-4.21875,Looking Away
0.7,0.7183697735527963,22.5,-4.78125,Looking Away
0.7,0.7202775499095079,22.5,-4.5,Looking Away
1.0,0.7189478430740867,22.875,-4.78125,Looking Away
1.0,0.7136593435789078,23.250000000000004,-5.0625,Looking Away
1.0,0.712885993601443,22.5,-5.0625,Looking Away
1.0,0.7128342397816838,22.125,-4.5,Looking Away
0.7,0.715714862369347,21.0,-5.90625,Looking Away
1.0,0.7577207654065907,21.75,-7.03125,Looking Away
0.7,0.7577932991473285,21.75,-7.03125,Looking Away
0.7,0.7617454279667254,21.75,-7.593750000000001,Looking Away
1.0,0.760017536243145,22.125,-7.3125,Looking Away
0.7,0.7604195612923887,22.125,-7.3125,Looking Away
1.0,0.7590991084426669,22.125,-7.3125,Looking Away
1.0,0.7582033522338595,22.125,-7.3125,Looking Away
1.0,0.7580149433388736,22.125,-7.3125,Looking Away
0.7,0.6931277684580683,17.625,-1.6875,Looking Away
1.0,0.6792582921402012,16.5,-1.125,Looking Away
0.7,0.7255136006582746,17.25,-0.84375,Looking Away
0.7,0.713987669594719,17.25,0.5625,Looking Away
1.0,0.7070379503480073,16.5,1.125,Looking Away
0.7,0.6626338383890544,18.0,0.84375,Looking Away
0.7,0.7031706771961947,24.375,-2.53125,Looking Away
0.7,0.6991632114586062,18.0,0.0,Looking Away
0.7,0.7234110257693039,19.5,1.125,Looking Away
0.7,0.6936333177363685,19.125,0.5625,Looking Away
0.7,0.6857255743558983,19.125,0.28125,Looking Away
0.7,0.7528307301233476,20.625,0.28125,Looking Away
1.0,0.7391101785215328,19.875,0.28125,Looking Away
0.7,0.6943897881525517,18.375,0.0,Looking Away
0.7,0.7021620662200351,18.375,0.0,Looking Away
0.7,0.7514004977695744,18.75,0.28125,Looking Away
0.7,0.7414267745164578,19.5,0.5625,Looking Away
0.7,0.7823192429912118,20.25,1.125,Looking Away
0.7,0.7636401081454658,19.875,1.125,Looking Away
0.7,0.778345717025012,20.25,0.28125,Looking Away
1.0,0.7794089293689673,20.625,0.28125,Looking Away
0.7,0.7602317219286029,20.625,0.0,Looking Away
1.0,0.7559027649206517,20.25,0.5625,Looking Away
0.7,0.7512075152646923,20.25,0.0,Looking Away
0.7,0.7180747968898654,19.875,0.0,Looking Away
0.7,0.6842637158610385,19.125,0.0,Looking Away
0.7,0.7094937970436915,19.875,-0.84375,Looking Away
0.7,0.7217015007810299,21.0,-1.125,Looking Away
1.0,0.7003814877685381,16.875,-10.125,Looking Away
1.0,0.7014443455512803,17.25,-9.84375,Looking Away
0.7,0.7027208701849154,15.749999999999998,-9.84375,Looking Away
1.0,0.7023033272558774,15.375,-10.40625,Looking Away
1.2999999999999998,0.7019110129361704,15.375,-10.6875,Looking Away
1.0,0.7021869279999775,15.749999999999998,-10.125,Looking Away
1.0,0.703812960866151,18.0,-10.6875,Looking Away
1.0,0.6988468065636776,17.625,-11.25,Looking Away
1.0,0.6986992956793034,18.0,-11.531249999999998,Looking Away
1.0,0.6994568736323445,17.625,-11.25,Looking Away
1.0,0.6987472896487279,16.875,-10.125,Looking Away
1.0,0.6995456858412425,17.25,-9.84375,Looking Away
1.0,0.702503089647344,16.875,-9.28125,Looking Away
1.0,0.7048666447908026,17.625,-10.125,Looking Away
0.7,0.6989239734237463,18.375,1.6875,Focused
1.0,0.7215746373325637,19.125,3.9374999999999996,Focused
0.7,0.726922303332548,19.125,4.5,Focused
0.7,0.7201143370504361,19.125,4.21875,Focused
0.7,0.763024073055261,19.875,3.9374999999999996,Focused
1.0,0.7702586261028052,20.25,4.21875,Focused
1.0,0.7467666716391147,19.875,4.21875,Focused
0.7,0.7444429502644107,19.875,4.21875,Focused
1.2999999999999998,0.757798874150384,20.25,5.0625,Focused
1.0,0.8197112431649214,21.375,4.21875,Focused
1.0,0.7844061176840641,20.25,3.375,Focused
0.7,0.797512731580601,20.625,3.375,Focused
1.0,0.8311311668071432,21.0,3.65625,Focused
1.0,0.8823502968176884,22.125,3.65625,Focused
1.0,0.9246836747664912,24.375,4.21875,Focused
1.0,0.9852356947503451,24.0,3.65625,Focused
0.7,0.9203761853310956,22.875,3.0937500000000004,Focused
0.7,0.9389796433822012,22.125,1.9687499999999998,Focused
0.7,0.912646674262066,23.250000000000004,2.25,Focused
0.7,0.9530967702647546,26.25,2.53125,Focused
0.7,0.9453821653754795,25.874999999999996,1.9687499999999998,Focused
0.7,1.0140628732463746,26.625,2.25,Focused
0.4,0.9885599327846325,26.625,1.40625,Focused
1.0,0.9776822190821942,26.625,1.9687499999999998,Focused
0.7,0.9831576836591185,27.0,1.40625,Focused
1.0,1.032953384696125,27.374999999999996,1.6875,Focused
1.0,0.9904957120464423,26.25,1.40625,Focused
1.2999999999999998,1.0552528639220276,27.0,1.6875,Focused
1.0,1.0802031792387334,26.625,1.40625,Focused
1.0,0.9946232478407245,27.374999999999996,1.40625,Focused
1.2999999999999998,0.9914714539318916,27.0,1.40625,Focused
1.2999999999999998,1.0414117463430355,25.874999999999996,1.40625,Focused
1.2999999999999998,0.9858844415194858,26.625,1.6875,Focused
1.0,1.0001892184603485,26.25,1.40625,Focused
1.2999999999999998,1.0293212979029664,26.625,1.9687499999999998,Focused
1.0,1.0739148928046016,27.0,2.25,Focused
1.0,1.0480688629117672,27.0,2.53125,Focused
1.0,1.0066224001745048,26.25,1.9687499999999998,Focused
1.0,0.9939831840730006,26.625,1.6875,Focused
1.0,0.9817491070889995,26.625,2.25,Focused
1.0,0.9968276037028515,26.625,1.40625,Focused
1.2999999999999998,1.0269909179075516,24.375,0.5625,Focused
0.7,0.8143771638956916,26.625,-2.25,Drowsy
0.7,0.8028195859945575,28.125,-3.65625,Drowsy
0.7,0.7858723609070176,28.5,-3.0937500000000004,Drowsy
1.0,0.79583750436364,28.5,-3.375,Drowsy
0.7,0.7971235931565588,28.125,-3.0937500000000004,Drowsy
0.7,0.8112116455698957,28.125,-3.0937500000000004,Drowsy
1.0,0.8164126187565642,28.875000000000004,-3.0937500000000004,Drowsy
0.7,0.7794960936478087,27.75,-3.65625,Drowsy
0.7,0.7807208113519561,27.75,-3.65625,Drowsy
0.7,0.8254859739867766,29.25,-3.65625,Drowsy
0.7,0.8137443724013849,29.25,-4.21875,Drowsy
0.7,0.8212269209780152,26.25,-1.6875,Drowsy
0.7,0.9264518318779935,30.375000000000004,-2.53125,Drowsy
0.7,0.8317452238996021,30.0,-3.0937500000000004,Drowsy
1.0,0.8769341153980491,31.125,-2.8125,Drowsy
0.7,0.9039930939303144,31.499999999999996,-2.8125,Drowsy
0.7,0.8831596484936788,31.125,-2.53125,Drowsy
1.0,0.8642587036291034,30.375000000000004,-2.8125,Drowsy
0.7,0.7935752563299029,27.0,-3.9374999999999996,Drowsy
1.0,0.830117499234463,25.874999999999996,-3.375,Drowsy
0.7,0.8210308730483166,24.750000000000004,-3.0937500000000004,Drowsy
1.0,0.8472077232752888,29.25,-3.9374999999999996,Drowsy
1.0,0.8324334361894256,28.875000000000004,-4.21875,Drowsy
